person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
22,59000,RENT,123.0,PERSONAL,D,35000,16.02,1,0.59,Y,3
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,,1,0.42,N,4
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,,1,0.38,Y,4
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3
23,277000,OWN,3.0,PERSONAL,A,35000,,0,0.13,N,4
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4
24,12000,OWN,2.0,VENTURE,E,1750,,0,0.15,Y,3
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,,1,0.04,N,4
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4
25,12000,OWN,0.0,MEDICAL,C,3000,,1,0.25,N,3
22,56950,RENT,6.0,MEDICAL,A,28000,,1,0.49,N,2
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4
